Price,Close,High,Low,Open,Volume,Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date Added,CIK,Founded
Ticker,HBAN,HBAN,HBAN,HBAN,HBAN,,,,,,,,
Date,,,,,,,,,,,,,
2010-01-04,2.2305898666381836,2.2669581443379307,2.2124057277883096,2.248774005488057,10462800,HBAN,Huntington Bancshares,Financials,Regional Banks,"Columbus, Ohio; Detroit, Michigan",1997-08-28,49196,1866
2010-01-05,2.2790801525115967,2.285141530130724,2.212404998701193,2.2305891315585757,21226600,HBAN,Huntington Bancshares,Financials,Regional Banks,"Columbus, Ohio; Detroit, Michigan",1997-08-28,49196,1866
2010-01-06,2.339693069458008,2.357877340151916,2.254833813954514,2.273017940133834,18761000,HBAN,Huntington Bancshares,Financials,Regional Banks,"Columbus, Ohio; Detroit, Michigan",1997-08-28,49196,1866
2010-01-07,2.6003334522247314,2.636701717895722,2.321509793051187,2.333632548274851,66130600,HBAN,Huntington Bancshares,Financials,Regional Banks,"Columbus, Ohio; Detroit, Michigan",1997-08-28,49196,1866
2010-01-08,2.557903289794922,2.648824085170715,2.5033510437928386,2.5639648110336206,29869600,HBAN,Huntington Bancshares,Financials,Regional Banks,"Columbus, Ohio; Detroit, Michigan",1997-08-28,49196,1866
2010-01-11,2.6245789527893066,2.6912542507830346,2.5518424217212123,2.612456197611291,28307500,HBAN,Huntington Bancshares,Financials,Regional Banks,"Columbus, Ohio; Detroit, Michigan",1997-08-28,49196,1866
2010-01-12,2.551842212677002,2.679131276133423,2.515473950122204,2.5821492426539625,25239200,HBAN,Huntington Bancshares,Financials,Regional Banks,"Columbus, Ohio; Detroit, Michigan",1997-08-28,49196,1866
2010-01-13,2.612457036972046,2.63064132009617,2.4730451631183463,2.551843241607258,26868200,HBAN,Huntington Bancshares,Financials,Regional Banks,"Columbus, Ohio; Detroit, Michigan",1997-08-28,49196,1866
2010-01-14,2.673069953918457,2.697315464096866,2.588210668294026,2.612456178472435,24295600,HBAN,Huntington Bancshares,Financials,Regional Banks,"Columbus, Ohio; Detroit, Michigan",1997-08-28,49196,1866
2010-01-15,2.5942718982696533,2.673069652963169,2.5579033480674185,2.667008420615628,17671600,HBAN,Huntington Bancshares,Financials,Regional Banks,"Columbus, Ohio; Detroit, Michigan",1997-08-28,49196,1866
2010-01-19,2.6063952445983887,2.6427635140402663,2.5518426959209157,2.5882109653627934,15203200,HBAN,Huntington Bancshares,Financials,Regional Banks,"Columbus, Ohio; Detroit, Michigan",1997-08-28,49196,1866
2010-01-20,2.6003334522247314,2.6730699835667124,2.563965186553741,2.5760879417774043,20893700,HBAN,Huntington Bancshares,Financials,Regional Banks,"Columbus, Ohio; Detroit, Michigan",1997-08-28,49196,1866
2010-01-21,2.7458081245422363,2.8791584961377774,2.6488257470796936,2.6548872721214747,63969900,HBAN,Huntington Bancshares,Financials,Regional Banks,"Columbus, Ohio; Detroit, Michigan",1997-08-28,49196,1866
2010-01-22,2.8427886962890625,2.951893487566671,2.5760878063589745,2.679131364858016,61227600,HBAN,Huntington Bancshares,Financials,Regional Banks,"Columbus, Ohio; Detroit, Michigan",1997-08-28,49196,1866
2010-01-25,2.9094648361206055,2.9943241428738956,2.818544005798833,2.8912805544445104,34705900,HBAN,Huntington Bancshares,Financials,Regional Banks,"Columbus, Ohio; Detroit, Michigan",1997-08-28,49196,1866
2010-01-26,2.7882370948791504,3.024631033417702,2.78823709487915,2.9458332465910946,45439900,HBAN,Huntington Bancshares,Financials,Regional Banks,"Columbus, Ohio; Detroit, Michigan",1997-08-28,49196,1866
2010-01-27,2.957955837249756,2.9700785952290847,2.818543975972798,2.830666733952127,34009000,HBAN,Huntington Bancshares,Financials,Regional Banks,"Columbus, Ohio; Detroit, Michigan",1997-08-28,49196,1866
2010-01-28,3.0246293544769287,3.0852434031995095,2.9821998672061674,3.0791818827155697,40498900,HBAN,Huntington Bancshares,Financials,Regional Banks,"Columbus, Ohio; Detroit, Michigan",1997-08-28,49196,1866
2010-01-29,2.903404712677002,3.061000933103816,2.8730976582781556,3.061000933103816,27561700,HBAN,Huntington Bancshares,Financials,Regional Banks,"Columbus, Ohio; Detroit, Michigan",1997-08-28,49196,1866
2010-02-01,2.9700777530670166,2.9943232621508886,2.8973412258153997,2.939770722197543,18652800,HBAN,Huntington Bancshares,Financials,Regional Banks,"Columbus, Ohio; Detroit, Michigan",1997-08-28,49196,1866
2010-02-02,2.9882612228393555,2.9943227435751845,2.9215862289205363,2.95795448624786,35142400,HBAN,Huntington Bancshares,Financials,Regional Banks,"Columbus, Ohio; Detroit, Michigan",1997-08-28,49196,1866
2010-02-03,2.854912042617798,2.9700783795739576,2.806421014221379,2.957955622474853,41303100,HBAN,Huntington Bancshares,Financials,Regional Banks,"Columbus, Ohio; Detroit, Michigan",1997-08-28,49196,1866
2010-02-04,2.75186824798584,2.836727541056565,2.7033772233739968,2.8246047849036042,35832300,HBAN,Huntington Bancshares,Financials,Regional Banks,"Columbus, Ohio; Detroit, Michigan",1997-08-28,49196,1866
2010-02-05,2.8064205646514893,2.8427888301228497,2.667008735829967,2.763990777086928,25099500,HBAN,Huntington Bancshares,Financials,Regional Banks,"Columbus, Ohio; Detroit, Michigan",1997-08-28,49196,1866
2010-02-08,2.776113986968994,2.8670348100547844,2.745807238626617,2.8367277726830777,17834600,HBAN,Huntington Bancshares,Financials,Regional Banks,"Columbus, Ohio; Detroit, Michigan",1997-08-28,49196,1866
2010-02-09,2.8185431957244873,2.8670342142181897,2.7700521772307853,2.8246044285215657,17433300,HBAN,Huntington Bancshares,Financials,Regional Banks,"Columbus, Ohio; Detroit, Michigan",1997-08-28,49196,1866
2010-02-10,2.854912042617798,2.8791575568160077,2.794298257122274,2.794298257122274,14027800,HBAN,Huntington Bancshares,Financials,Regional Banks,"Columbus, Ohio; Detroit, Michigan",1997-08-28,49196,1866
2010-02-11,2.903404712677002,2.915527476630642,2.836729366417235,2.8791591847697213,16127900,HBAN,Huntington Bancshares,Financials,Regional Banks,"Columbus, Ohio; Detroit, Michigan",1997-08-28,49196,1866
2010-02-12,2.8367271423339844,2.8912796818692055,2.8003588789869256,2.8549114185221462,13711900,HBAN,Huntington Bancshares,Financials,Regional Banks,"Columbus, Ohio; Detroit, Michigan",1997-08-28,49196,1866
2010-02-16,2.921586751937866,2.9215867519378667,2.848849935232784,2.867034211666372,14918600,HBAN,Huntington Bancshares,Financials,Regional Banks,"Columbus, Ohio; Detroit, Michigan",1997-08-28,49196,1866
2010-02-17,2.885218858718872,2.9579553957380105,2.8670345799494346,2.9276483607987167,12692100,HBAN,Huntington Bancshares,Financials,Regional Banks,"Columbus, Ohio; Detroit, Michigan",1997-08-28,49196,1866
2010-02-18,2.860973596572876,2.9094649194210267,2.84278960340551,2.8852194025116313,11941600,HBAN,Huntington Bancshares,Financials,Regional Banks,"Columbus, Ohio; Detroit, Michigan",1997-08-28,49196,1866
2010-02-19,2.9397714138031006,2.9397714138031006,2.8549121120456946,2.8609733462279845,11149600,HBAN,Huntington Bancshares,Financials,Regional Banks,"Columbus, Ohio; Detroit, Michigan",1997-08-28,49196,1866
2010-02-22,2.9882612228393555,3.0003839752817965,2.95795448624786,2.976138470396914,16529800,HBAN,Huntington Bancshares,Financials,Regional Banks,"Columbus, Ohio; Detroit, Michigan",1997-08-28,49196,1866
2010-02-23,2.9155259132385254,3.0003852154099135,2.909464679026666,2.9640169430507473,13714300,HBAN,Huntington Bancshares,Financials,Regional Banks,"Columbus, Ohio; Detroit, Michigan",1997-08-28,49196,1866
2010-02-24,2.964017152786255,2.994324193078105,2.9276488778536494,2.945833159834631,12362900,HBAN,Huntington Bancshares,Financials,Regional Banks,"Columbus, Ohio; Detroit, Michigan",1997-08-28,49196,1866
2010-02-25,2.9094648361206055,2.933710352335831,2.8791577963368975,2.8852193199053797,10031300,HBAN,Huntington Bancshares,Financials,Regional Banks,"Columbus, Ohio; Detroit, Michigan",1997-08-28,49196,1866
