Date,Close,High,Low,Open,Volume,Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date Added,CIK,Founded
2010-01-04,25.46597671508789,25.57862347061335,24.83033385285408,25.208501047617183,371600,IEX,IDEX Corporation,Industrials,Industrial Machinery & Supplies & Components,"Lake Forest, Illinois",2019-08-09,832101.0,1988.0
2010-01-05,25.288963317871094,25.385515928661803,24.94297980407288,25.385515928661803,373000,IEX,IDEX Corporation,Industrials,Industrial Machinery & Supplies & Components,"Lake Forest, Illinois",2019-08-09,832101.0,1988.0
2010-01-06,25.594709396362305,25.6188483108318,25.224588582551043,25.297003791283807,220300,IEX,IDEX Corporation,Industrials,Industrial Machinery & Supplies & Components,"Lake Forest, Illinois",2019-08-09,832101.0,1988.0
2010-01-07,25.54644012451172,25.844145811425967,25.39356336019902,25.626901660185567,307400,IEX,IDEX Corporation,Industrials,Industrial Machinery & Supplies & Components,"Lake Forest, Illinois",2019-08-09,832101.0,1988.0
2010-01-08,25.940692901611328,25.972875049736984,25.32113974258548,25.433786469079102,229000,IEX,IDEX Corporation,Industrials,Industrial Machinery & Supplies & Components,"Lake Forest, Illinois",2019-08-09,832101.0,1988.0
2010-01-11,25.940692901611328,26.069430702167782,25.79586249231641,25.96483028004339,313000,IEX,IDEX Corporation,Industrials,Industrial Machinery & Supplies & Components,"Lake Forest, Illinois",2019-08-09,832101.0,1988.0
2010-01-12,25.56252861022949,25.779774261060837,25.297006659660926,25.739542732383235,244500,IEX,IDEX Corporation,Industrials,Industrial Machinery & Supplies & Components,"Lake Forest, Illinois",2019-08-09,832101.0,1988.0
2010-01-13,25.659442901611328,25.715979040943783,25.255611574386077,25.715979040943783,319100,IEX,IDEX Corporation,Industrials,Industrial Machinery & Supplies & Components,"Lake Forest, Illinois",2019-08-09,832101.0,1988.0
2010-01-14,25.56252670288086,25.74021350056402,25.433300781199197,25.635216476388607,241000,IEX,IDEX Corporation,Industrials,Industrial Machinery & Supplies & Components,"Lake Forest, Illinois",2019-08-09,832101.0,1988.0
2010-01-15,25.223302841186523,25.619057333667712,25.094076947335285,25.562521197669568,181600,IEX,IDEX Corporation,Industrials,Industrial Machinery & Supplies & Components,"Lake Forest, Illinois",2019-08-09,832101.0,1988.0
2010-01-19,25.514070510864254,25.667526889453445,25.150621598546373,25.150621598546373,217900,IEX,IDEX Corporation,Industrials,Industrial Machinery & Supplies & Components,"Lake Forest, Illinois",2019-08-09,832101.0,1988.0
2010-01-20,25.31215476989746,25.38484455230102,24.940629044224316,25.231388173838543,253900,IEX,IDEX Corporation,Industrials,Industrial Machinery & Supplies & Components,"Lake Forest, Illinois",2019-08-09,832101.0,1988.0
2010-01-21,24.64179039001465,25.38484017266828,24.561023807890344,25.25561425746716,350900,IEX,IDEX Corporation,Industrials,Industrial Machinery & Supplies & Components,"Lake Forest, Illinois",2019-08-09,832101.0,1988.0
2010-01-22,24.213727951049805,24.58525360292588,24.165268619237928,24.56102316677275,553700,IEX,IDEX Corporation,Industrials,Industrial Machinery & Supplies & Components,"Lake Forest, Illinois",2019-08-09,832101.0,1988.0
2010-01-25,23.882591247558597,24.3510356589365,23.56760321557017,24.326806758318742,421500,IEX,IDEX Corporation,Industrials,Industrial Machinery & Supplies & Components,"Lake Forest, Illinois",2019-08-09,832101.0,1988.0
2010-01-26,23.737215042114254,23.85836572433193,23.53529929241136,23.777599116351787,345000,IEX,IDEX Corporation,Industrials,Industrial Machinery & Supplies & Components,"Lake Forest, Illinois",2019-08-09,832101.0,1988.0
2010-01-27,23.64836311340332,23.745281769410244,23.29299111355799,23.64836311340332,209400,IEX,IDEX Corporation,Industrials,Industrial Machinery & Supplies & Components,"Lake Forest, Illinois",2019-08-09,832101.0,1988.0
2010-01-28,23.260692596435547,23.85836454156228,22.97801179326122,23.632218358527982,186700,IEX,IDEX Corporation,Industrials,Industrial Machinery & Supplies & Components,"Lake Forest, Illinois",2019-08-09,832101.0,1988.0
2010-01-29,22.79224395751953,23.583754682578014,22.79224395751953,23.349531728097816,374300,IEX,IDEX Corporation,Industrials,Industrial Machinery & Supplies & Components,"Lake Forest, Illinois",2019-08-09,832101.0,1988.0
2010-02-01,23.244529724121094,23.301065858526957,22.687242109774232,22.9133881878918,464400,IEX,IDEX Corporation,Industrials,Industrial Machinery & Supplies & Components,"Lake Forest, Illinois",2019-08-09,832101.0,1988.0
2010-02-02,23.688745498657227,23.769512071878054,23.13145783797717,23.23645484531253,371700,IEX,IDEX Corporation,Industrials,Industrial Machinery & Supplies & Components,"Lake Forest, Illinois",2019-08-09,832101.0,1988.0
2010-02-03,23.6806697845459,23.8098956914893,23.47067730063929,23.51913817111381,386000,IEX,IDEX Corporation,Industrials,Industrial Machinery & Supplies & Components,"Lake Forest, Illinois",2019-08-09,832101.0,1988.0
2010-02-04,23.664522171020508,24.93255420824197,23.65644689771824,24.93255420824197,1024800,IEX,IDEX Corporation,Industrials,Industrial Machinery & Supplies & Components,"Lake Forest, Illinois",2019-08-09,832101.0,1988.0
2010-02-05,23.438377380371094,23.79374794194844,22.82455340060836,23.704906071801453,924400,IEX,IDEX Corporation,Industrials,Industrial Machinery & Supplies & Components,"Lake Forest, Illinois",2019-08-09,832101.0,1988.0
2010-02-08,23.607982635498047,23.93912425129848,23.187997621143285,23.43029737888388,494000,IEX,IDEX Corporation,Industrials,Industrial Machinery & Supplies & Components,"Lake Forest, Illinois",2019-08-09,832101.0,1988.0
2010-02-09,23.664522171020508,24.036047903208157,23.607986014936344,23.793748110782808,330600,IEX,IDEX Corporation,Industrials,Industrial Machinery & Supplies & Components,"Lake Forest, Illinois",2019-08-09,832101.0,1988.0
2010-02-10,23.438377380371094,23.76144222748445,23.349533969729407,23.640293102378784,259700,IEX,IDEX Corporation,Industrials,Industrial Machinery & Supplies & Components,"Lake Forest, Illinois",2019-08-09,832101.0,1988.0
2010-02-11,23.86643409729004,23.88258772231395,23.284917460879512,23.43837381761772,306300,IEX,IDEX Corporation,Industrials,Industrial Machinery & Supplies & Components,"Lake Forest, Illinois",2019-08-09,832101.0,1988.0
2010-02-12,24.18142318725586,24.18142318725586,23.40606614552805,23.591828208470076,403800,IEX,IDEX Corporation,Industrials,Industrial Machinery & Supplies & Components,"Lake Forest, Illinois",2019-08-09,832101.0,1988.0
2010-02-16,24.48833656311035,24.48833656311035,24.044122626363784,24.2298847060582,201600,IEX,IDEX Corporation,Industrials,Industrial Machinery & Supplies & Components,"Lake Forest, Illinois",2019-08-09,832101.0,1988.0
2010-02-17,24.714475631713867,24.75485814512996,24.447947037882884,24.480252740516928,340600,IEX,IDEX Corporation,Industrials,Industrial Machinery & Supplies & Components,"Lake Forest, Illinois",2019-08-09,832101.0,1988.0
2010-02-18,25.231380462646484,25.304070222834664,24.609479865700617,24.77908981963777,305700,IEX,IDEX Corporation,Industrials,Industrial Machinery & Supplies & Components,"Lake Forest, Illinois",2019-08-09,832101.0,1988.0
2010-02-19,25.425216674804688,25.449447105854457,25.18291852628322,25.239454658238625,374100,IEX,IDEX Corporation,Industrials,Industrial Machinery & Supplies & Components,"Lake Forest, Illinois",2019-08-09,832101.0,1988.0
