Date,Close,High,Low,Open,Volume,Daily Return,Daily Return(%),Monthly Volatility,Monthly Momentum,Day of week,Month_Number
2010-02-04,70.11925506591797,72.41068360838759,69.99069440142183,72.09306110679384,997600,-0.03416717818440684,-3.0,0.015579378766719275,-0.12376758797937693,3,2
2010-02-05,70.32344818115234,70.4217640414576,68.43282957171392,70.24026050076024,877000,0.0029120833506062205,0.0,0.016732704932704436,-0.14575283330960076,4,2
2010-02-08,69.3932876586914,70.61840518872121,69.3932876586914,70.3234690596613,633300,-0.013226890127242541,-1.0,0.01648027946800294,-0.1510089225976261,0,2
2010-02-09,70.33858489990234,70.78476817643391,69.25715069323317,70.3083343061138,994900,0.013622315257065587,1.0,0.01627346059976794,-0.144747671650293,1,2
2010-02-10,70.33858489990234,71.32170323433108,69.8772734416211,70.12683651309341,1237200,0.0,0.0,0.016899137629865637,-0.12887533174744636,2,2
2010-02-11,72.0174560546875,72.39557982616715,68.94708710686933,70.50496096876888,2107900,0.023868423812823725,2.0,0.016635486306123975,-0.13599628811110331,3,2
2010-02-12,72.51657104492188,72.53925754637133,70.48226345919977,71.47295159027325,934600,0.0069304723823535586,1.0,0.01603530623783027,-0.07803295532849108,4,2
2010-02-16,72.41825866699219,72.68294412508037,71.6015100222827,72.5846340319934,753400,-0.0013557229266781823,-0.0,0.01620138637092857,-0.06975197377776698,1,2
2010-02-17,72.73587036132812,72.78880744504524,71.73762409001303,72.47118494274257,502500,0.004385795794903613,0.0,0.015918108833890714,-0.08029222116845836,2,2
2010-02-18,71.8662109375,73.00058237589819,71.32927581569022,72.1611470499066,560000,-0.011956403621871003,-1.0,0.015604885889761947,-0.05807485636673926,3,2
2010-02-19,71.85108947753906,72.19139860569179,71.46540156784415,71.52590276342602,492000,-0.00021041125952903084,-0.0,0.014984694342706864,-0.08563441094018154,4,2
2010-02-22,71.47296142578125,71.82839871662972,70.87552513665253,71.72251874577782,535400,-0.0052626627446757945,-1.0,0.015008597581958246,-0.08158528799193077,0,2
2010-02-23,70.50497436523438,71.69984132516336,70.42934498079961,71.16290616000592,827100,-0.01354340216547556,-1.0,0.014993266579021749,-0.08571127418304891,1,2
2010-02-24,71.71497344970703,71.76791055989237,70.5881601804998,70.87553800983073,554400,0.017161896665681242,2.0,0.012463122164132609,-0.0584728829356419,2,2
2010-02-25,71.33683776855469,71.3822107784225,70.10415048317327,70.95114987554426,862400,-0.0052727577375111245,-1.0,0.012880031845372574,-0.052552466135931564,3,2
2010-02-26,71.44268798828125,71.5107474802356,70.77718662849975,71.5107474802356,642000,0.0014838086889972235,0.0,0.012866860088589881,-0.05157848419507438,4,2
2010-03-01,73.9610366821289,74.04422440118208,71.45029423272837,71.83597645410637,835300,0.03524991520840781,4.0,0.012895328707759666,-0.04816166948636036,0,3
2010-03-02,74.27107238769531,74.92144575273267,73.69632262493211,74.00638689488035,609800,0.0041918788523596096,0.0,0.01491756960273645,0.00040927715524508024,1,3
2010-03-03,73.45433807373047,74.6945838578794,73.34090553287892,74.24840047796422,612300,-0.010996667850727726,-1.0,0.014490662441953232,0.02057556478961886,2,3
2010-03-04,74.67945861816406,74.86852053871638,73.3333386669855,73.41652637360546,505000,0.016678668361341353,2.0,0.014692918106246322,0.013354379698488295,3,3
2010-03-05,77.69686126708984,78.03717608084482,74.39206360875048,74.85337501405311,1460100,0.040404720451359344,4.0,0.01503427627454844,0.02246888084915466,4,3
2010-03-08,77.60614013671875,78.82369938095009,77.43976472152511,77.95401338225456,841800,-0.0011676292824652768,-0.0,0.01718468961901529,0.07020787219234026,0,3
2010-03-09,77.3641128540039,77.74979488142101,76.75911261418548,77.56073302769148,519400,-0.0031186615168395937,-0.0,0.014942496184287293,0.10677359683531273,1,3
2010-03-10,77.93888854980469,78.27920348726032,76.6759562360929,77.1599543176317,785900,0.007429487324251527,1.0,0.01504119667153948,0.10011830840141545,2,3
2010-03-11,78.98249053955078,78.98249053955078,77.44730904172319,77.68174391980213,552700,0.013390003490737712,1.0,0.014477827248229465,0.12314737029241996,3,3
2010-03-12,78.77073669433594,79.48160536971746,78.52117365258546,79.05810864653611,527000,-0.0026810226389203384,-0.0,0.014471513572657834,0.12288995651461332,4,3
2010-03-15,77.18262481689453,79.20936852659128,76.93306750484518,78.51362214990566,794400,-0.020161191123601596,-2.0,0.014535376725400588,0.11987946312018138,0,3
2010-03-16,77.14483642578125,77.61370634930442,76.64571012946134,76.94064629739125,455200,-0.0004895971237429686,-0.0,0.014924454389222252,0.07172106660203026,1,3
2010-03-17,78.99759674072266,79.58746874498452,77.37922788862137,77.39435029680607,614800,0.024016647137801606,2.0,0.014924739539455747,0.06382355528079642,2,3
2010-03-18,78.55144500732422,79.36818807940168,78.24894479521215,79.25475554835734,353200,-0.005647662103731466,-1.0,0.015563138961939657,0.09085192318673219,3,3
2010-03-19,77.65907287597656,79.0959387924535,77.29607146599909,78.81613085510523,573100,-0.011360352839651089,-1.0,0.01571249058129897,0.07995469934031463,4,3
2010-03-22,77.09944152832031,77.59100362874157,76.48688281055414,77.3641328075781,930400,-0.0072062584181245,-1.0,0.01568314289256897,0.08060619674960257,0,3
2010-03-23,77.14483642578125,77.68177164867195,76.24489973559311,77.00871159675879,1527000,0.000588783739039922,0.0,0.015846355630336005,0.0730448499660108,1,3
2010-03-24,75.69281768798828,77.50781303813272,75.26932088851534,76.53981705664533,1484000,-0.018821982196953857,-2.0,0.015735983585649354,0.07935693284361478,2,3
2010-03-25,74.8307113647461,76.32052033171092,74.74752365199186,76.32052033171092,953700,-0.011389539319250352,-1.0,0.016064915547056368,0.0735812383375889,3,3
2010-03-26,72.94007110595703,75.0878170662409,72.74345090465263,75.0878170662409,1181700,-0.025265565759137965,-3.0,0.016059779972519953,0.04344612798642533,4,3
2010-03-29,73.42407989501953,74.23327040099376,72.7358975494597,72.9930189751359,955000,0.006635704924929486,1.0,0.01708179827985211,0.02247412960192996,0,3
2010-03-30,74.08959197998047,74.37696404396388,73.53752859133782,73.59802979524349,539600,0.009063948583522885,1.0,0.017123075829755332,0.02773400557189687,1,3
2010-03-31,73.61314392089844,74.3618332530594,73.37114490224253,73.66608679563764,645100,-0.006430701618801882,-1.0,0.01540528332672574,0.001738148944613549,2,3
2010-04-01,74.79288482666016,75.62475598859247,74.066887861535,74.36182394831361,776200,0.016026226335740024,2.0,0.015441835011722123,-0.008858475388136111,3,4
2010-04-05,76.84231567382812,77.53049795891593,74.52819996724236,74.62651007376603,662300,0.02740141461206802,3.0,0.015631615669168954,0.018222841400954648,0,4
