Date,Close,High,Low,Open,Volume,Daily Return,Daily Return(%),Monthly Volatility,Monthly Momentum,Day of week,Month_Number
2010-02-04,17.657474517822266,17.870729276781894,17.578266205026086,17.82198543148926,4839000,-0.016960757548293737,-2.0,0.009090523001428638,-0.033277920945266715,3,2
2010-02-05,17.633100509643555,17.71840193546953,17.365008820004356,17.639193634651804,4116700,-0.0013803790657667125,-0.0,0.009685250335858446,-0.049057316225353365,4,2
2010-02-08,17.58435821533203,17.724496616389285,17.492962494330037,17.492962494330037,2798700,-0.0027642497860694837,-0.0,0.009389408219357572,-0.05801582237659264,0,2
2010-02-09,17.7366886138916,17.882920187868773,17.602642132803595,17.748873706780767,2877200,0.008662835270652813,1.0,0.008371367829521137,-0.07521376094885401,1,2
2010-02-10,17.718408584594727,17.815896297021077,17.559990761365604,17.71231545729993,1812000,-0.0010306337160679302,-0.0,0.008753024720359546,-0.06779347194097463,2,2
2010-02-11,17.931663513183594,17.980407369728002,17.55999088069174,17.669664848452953,2460500,0.012035783437925884,1.0,0.00850943822623428,-0.07432725784187022,3,2
2010-02-12,17.992586135864258,18.053515059577165,17.65137811991939,17.65137811991939,3620700,0.0033974886175993646,0.0,0.009171577793767413,-0.05992898287887638,4,2
2010-02-16,18.199750900268555,18.22412224156943,17.974309891974595,18.199750900268555,1797900,0.011513895936913654,1.0,0.009244363824430472,-0.05733101669040175,1,2
2010-02-17,18.32770347595215,18.35207597995518,18.230215784229927,18.27895963009104,1870800,0.007030457525751377,1.0,0.009597217886310808,-0.037048448258027444,2,2
2010-02-18,18.37645149230957,18.47393920615642,18.309428253235403,18.38254461969315,2416200,0.002659799489957093,0.0,0.008609412362741573,-0.008778335425500883,3,2
2010-02-19,18.419097900390625,18.44956353016073,18.236308770349773,18.35816780299536,2641600,0.0023207096374890934,0.0,0.008459036386705449,0.0016965690690651236,4,2
2010-02-22,18.455665588378903,18.54096706872994,18.37036294588236,18.419106814960884,1501300,0.00198531373176003,0.0,0.008472147357599281,0.003361817417863122,0,2
2010-02-23,18.33379554748535,18.55923538582247,18.18756401831252,18.297237955728363,2559200,-0.00660339451373082,-1.0,0.008305630472457798,0.012670410458671899,1,2
2010-02-24,18.46784400939941,18.626261817185693,18.38863568657882,18.46784400939941,3428300,0.007311549949756246,1.0,0.007134750581145628,0.02600758539007586,2,2
2010-02-25,18.15709686279297,18.297236416672664,18.016958471058064,18.22412007716392,3686100,-0.01682639004576192,-2.0,0.007114472444243563,0.03841409823916764,3,2
2010-02-26,18.24240493774414,18.278962537418337,18.09617337690221,18.230218683804363,2317000,0.004698332315778098,0.0,0.008105245702447056,0.025460528505655278,4,2
2010-03-01,18.455665588378903,18.51659455311793,18.19366685627729,18.425199943863888,2315000,0.011690380263049471,1.0,0.008137075799773167,0.02992767345207037,0,3
2010-03-02,18.272869110107425,18.480030775098108,18.236311511034103,18.443473176024785,2477900,-0.009904626706423447,-1.0,0.008196906946887598,0.04918619380109379,1,3
2010-03-03,18.4983024597168,18.59579012478386,18.352070962116205,18.510487546241706,2881600,0.012337052722863229,1.0,0.008603697095111789,0.03449465154082865,2,3
2010-03-04,18.480026245117188,18.589700177598065,18.39472481414088,18.577513926845786,2387500,-0.0009879941491610644,-0.0,0.008659973037415437,0.035470247536465216,3,3
2010-03-05,18.96138000488281,19.01621583013134,18.534870361185455,18.583614220852706,2704700,0.02604724438055417,3.0,0.008606918956020448,0.02778737501070072,4,3
2010-03-08,19.04058074951172,19.16853289431892,18.90044235411007,19.022301373620053,2282700,0.004176950443929517,0.0,0.01012799298486957,0.05563117857115918,0,3
2010-03-09,19.192901611328125,19.272109900285223,18.985740040646984,19.040576995365203,2231200,0.007999801257128736,1.0,0.009079754749377918,0.0783297877787359,1,3
2010-03-10,19.36960792541504,19.43662999801996,19.199003856117216,19.21728323708864,2325400,0.009206857705278848,1.0,0.009051284756862022,0.08845869737040934,2,3
2010-03-11,19.42444610595703,19.4305392336884,19.24165692259713,19.278214526840053,1411900,0.0028311456149836545,0.0,0.008975109221801093,0.10152487160585855,3,3
2010-03-12,19.576770782470703,19.637699731782448,19.345236591363303,19.44272430483635,2254800,0.007841905796580617,1.0,0.008934979857009029,0.095156290376748,4,3
2010-03-15,19.76564598083496,19.777832231893736,19.509741681469887,19.619415616709126,1971400,0.009647924086304327,1.0,0.008876133038785544,0.10488313264723614,0,3
2010-03-16,19.674251556396484,19.863132627214583,19.61332030428612,19.80220369939383,2834100,-0.00462390273139035,-0.0,0.008793692230314525,0.10227620356042255,1,3
2010-03-17,19.759557723999023,19.832672919777075,19.64988376818686,19.66816198605883,2871100,0.0043359294943448035,0.0,0.009023597984287637,0.09346435291923916,2,3
2010-03-18,19.78393173217773,19.87532515276401,19.710814206560304,19.796117986447303,2635400,0.0012335300475427857,0.0,0.008871443407048485,0.08570484465847561,3,3
2010-03-19,19.60114288330078,19.95453733186042,19.50365516029996,19.911886598315725,4713200,-0.009239257967093129,-1.0,0.008861332265337201,0.07945503145750399,4,3
2010-03-22,19.79611015319824,19.85094711356735,19.50973910190515,19.534111600800188,2052300,0.009946729691132417,1.0,0.009299729928879607,0.06664460717585974,0,3
2010-03-23,19.960622787475582,19.997181543286185,19.783927945115785,19.997181543286185,2078600,0.008310351528871607,1.0,0.00941521454733647,0.0747600268077413,1,3
2010-03-24,19.704723358154297,19.95453577411047,19.66816459327395,19.911885043895307,3920500,-0.0128202126780258,-1.0,0.009466000599854644,0.08154445538091659,2,3
2010-03-25,18.930906295776367,19.40615959653476,18.88216245688921,19.235555579357307,8069400,-0.039270638227849375,-4.0,0.009894556029793094,0.07477599535339974,3,3
2010-03-26,19.01620864868164,19.15025508375304,18.912629002882607,18.930907217014276,4416700,0.0045059835790484115,0.0,0.013542975794319092,0.025073976482651528,4,3
2010-03-29,19.0040225982666,19.174625452967888,18.888255545330168,19.05276643705908,2661200,-0.0006408243956601556,-0.0,0.012902800319673407,0.04731548178547973,0,3
2010-03-30,18.92481803894043,19.10151522670114,18.84560971617724,18.979655017063056,2956500,-0.004167778633003549,-0.0,0.012905450400895158,0.04174984949197391,1,3
2010-03-31,18.7176570892334,18.906540537545528,18.69328574366917,18.845610430417267,3136400,-0.010946522670958747,-1.0,0.012775207737985678,0.025420511024914827,2,3
2010-04-01,18.7176570892334,18.827331049635248,18.565332402485307,18.7176570892334,4108200,0.0,0.0,0.012822729134728207,0.02434144175420938,3,4
2010-04-05,18.93700790405273,19.01012427620956,18.71156682186905,18.754218716878636,2657900,0.011718924744352988,1.0,0.012568257538061067,0.011858095087064369,0,4
2010-04-06,18.876081466674805,18.94310472403636,18.81515133835935,18.8943608538131,2188900,-0.003217321220259306,-0.0,0.012790014040613607,0.024728409628546277,1,4
2010-04-07,18.67500305175781,18.979652371238835,18.614072955432626,18.88825780782352,3006200,-0.010652550704021602,-1.0,0.011479387530260607,-0.0044985406223617685,2,4
2010-04-08,18.82733154296875,18.86388914334557,18.522682161489826,18.55314779692481,3878700,0.008156812118785828,1.0,0.01165462759183297,-0.01919992370838186,3,4
2010-04-09,19.02230262756348,19.03448887896124,18.76030519538107,18.82732725377894,1987800,0.010355747130163184,1.0,0.011660642427232325,-0.01904714960574838,4,4
2010-04-12,18.955278396606445,19.02230044732259,18.851697595887213,19.01011535946632,2204200,-0.0035234551920079182,-0.0,0.011712763099062398,-0.017930424776221532,0,4
