Date,Close,High,Low,Open,Volume,Daily Return,Daily Return(%),Monthly Volatility,Monthly Momentum,Day of week,Month_Number
2010-02-04,18.544574737548828,19.20238266800797,18.544574737548828,19.20238266800797,5900100,-0.041591659823965954,-4.0,0.017499728757892512,-0.1269341223027024,3,2
2010-02-05,18.82450485229492,18.859495439614577,18.46061075269706,18.54458682750981,5844800,0.015094987008749783,2.0,0.01906852906729786,-0.16192329364463331,4,2
2010-02-08,18.754518508911133,18.999447196197167,18.530584166736688,18.880481910072746,5526400,-0.00371783183318386,-0.0,0.01969946791410853,-0.14765486517401716,0,2
2010-02-09,18.97845268249512,19.286361711217527,18.83849306234576,19.041433043333083,4841300,0.011940278470896848,1.0,0.019715162119692046,-0.1440433927006679,1,2
2010-02-10,18.92947006225586,19.188395016297346,18.76851739786058,18.91547516495282,4745300,-0.0025809596313634,-0.0,0.019963066218908886,-0.13877456093854768,2,2
2010-02-11,19.36334228515625,19.58027852479149,18.845493755355395,19.02044263710247,8066300,0.022920463249814116,2.0,0.01998404650768535,-0.13605860023737182,3,2
2010-02-12,19.58727264404297,19.734230368800347,19.02743687057146,19.251371179960064,7836200,0.011564654262109508,1.0,0.019313842496940997,-0.07797410145332162,4,2
2010-02-16,20.014148712158203,20.077130404954893,19.69224213400247,20.014148712158203,6318100,0.021793542974195557,2.0,0.019589424823967472,-0.0669999506669905,1,2
2010-02-17,19.86019897460937,20.18910376803789,19.60127534441481,20.0631403437252,6629000,-0.007692045250733526,-1.0,0.0203297646696691,-0.04571253180184298,2,2
2010-02-18,20.692947387695312,20.85389999086776,19.96516094935916,20.26607181560404,10230000,0.04193051711871476,4.0,0.019055995013061575,-0.02002727651156566,3,2
2010-02-19,20.81891441345215,20.99386327406939,20.490011036003125,20.54599461801049,3853400,0.006087437589086031,1.0,0.020881578629519126,0.003392963139098315,4,2
2010-02-22,20.916887283325195,21.0218576772096,20.7069491650644,20.95887597478056,4298200,0.0047059547835857085,0.0,0.020464177465159515,0.028344243505007416,0,2
