,Date,Close,High,Low,Open,Volume
2,2010-01-04,20.923370361328125,21.031142953200256,20.646239161323848,20.72322021335742,3332500.0
3,2010-01-05,20.592357635498047,21.015751317322415,20.315226371297786,20.90797870048533,9555900.0
4,2010-01-06,20.038095474243164,20.54616845182917,19.822548784122066,20.53077194504373,11830100.0
5,2010-01-07,20.13817024230957,20.153566749408892,19.78405938877555,20.076585682204012,5326000.0
6,2010-01-08,20.20745086669922,20.20745086669922,19.876433341384733,20.138168060550065,4158100.0
7,2010-01-11,20.168962478637695,20.315224885565055,19.830246676974756,20.238245289620835,4846600.0
8,2010-01-12,19.90723419189453,20.06889315771092,19.8302531027139,20.03040334726668,6637600.0
9,2010-01-13,20.384506225585938,20.47688378966131,19.830245246008417,19.98420589507861,6871800.0
10,2010-01-14,20.276735305786133,20.530771792694043,20.099679883942493,20.42299918257908,4447800.0
11,2010-01-15,20.46148681640625,20.60005242520516,20.014998448216165,20.292129665813988,7235400.0
12,2010-01-19,20.684736251831055,20.707829546146353,20.338322154183007,20.39990671951023,3904000.0
13,2010-01-20,20.05348777770996,20.523070892579216,19.83794258527804,20.47688284681402,8020600.0
14,2010-01-21,20.10737419128418,20.653936856225496,19.976506846844632,20.392202167346404,9142600.0
15,2010-01-22,19.206697463989258,20.068881030598796,19.175904459607573,19.999598239031265,6204900.0
16,2010-01-25,19.5300235748291,19.683984246307958,19.260590564376372,19.39145794269388,5214000.0
17,2010-01-26,19.137420654296875,19.553116065346703,19.075836094574985,19.445343452906325,6511600.0
18,2010-01-27,19.26058578491211,19.422244670093445,19.006549345133283,19.098925431439355,5899300.0
19,2010-01-28,18.852584838867188,19.376054155469664,18.744812262492996,19.28367661265519,10374600.0
20,2010-01-29,19.114322662353516,20.16895972112374,18.883380969512007,19.984204604900764,17334500.0
21,2010-02-01,19.291372299194336,19.337561798607254,18.521564928471438,18.767903052176198,8197400.0
22,2010-02-02,19.376056671142578,19.40684821055104,19.122020230784223,19.337566879809145,8456200.0
23,2010-02-03,19.499235153198242,19.630102562345566,19.060444860260787,19.268293357428675,5596700.0
24,2010-02-04,19.160511016845703,19.445340479691016,18.99885212290297,19.291378369781413,9317500.0
25,2010-02-05,19.245189666748047,19.314472467011655,18.86798412547476,19.15281211029942,9158200.0
26,2010-02-08,19.1759090423584,19.46843678072905,19.09892798129814,19.214398838742717,3989800.0
27,2010-02-09,19.337566375732422,19.53771504739866,19.1297179840505,19.199000781277807,4250400.0
28,2010-02-10,19.26058578491211,19.49922572087612,19.11432193525417,19.26058578491211,3080100.0
29,2010-02-11,19.445343017578125,19.514625829250665,19.152815264229254,19.252891089219226,3776600.0
