File,Line,Column,Type,Value
AEP,1283,High,Spike,41.57610715915877
AEP,1585,High,Spike,46.209255739170175
AEP,1721,High,Spike,46.47313919102116
AEP,2037,High,Spike,50.85709692465522
AEP,2218,High,Spike,60.36658468376302
AEP,2255,High,Spike,62.76789060394505
AEP,2259,High,Spike,61.84685178988366
AEP,2260,High,Spike,59.564228078391736
AEP,2370,High,Spike,73.11288686928121
AEP,2539,High,Spike,85.23089046401546
AEP,2555,High,Spike,74.9392012489331
AEP,2556,High,Spike,79.33416380433988
AEP,2557,High,Spike,81.40679768126184
AEP,2558,High,Spike,83.77906523542305
AEP,2560,High,Spike,81.3402137863999
AEP,2563,High,Spike,77.37806240578155
AEP,2564,High,Spike,71.55973063012814
AEP,2567,High,Spike,79.71705589922419
AEP,2568,High,Spike,77.29482379439504
AEP,2569,High,Spike,73.29939715746887
AEP,2570,High,Spike,67.50604319671385
AEP,2571,High,Spike,59.79819341518118
AEP,2572,High,Spike,61.41300994313064
AEP,2573,High,Spike,63.51892350934611
AEP,2574,High,Spike,68.98766508340273
AEP,2575,High,Spike,72.07579783460181
AEP,2577,High,Spike,69.49541843233642
AEP,2578,High,Spike,65.68313239991035
AEP,2581,High,Spike,66.40727463854022
AEP,2583,High,Spike,69.8117291002149
AEP,2584,High,Spike,73.4908587370518
AEP,2589,High,Spike,72.39210860769023
AEP,2591,High,Spike,68.95438474440503
AEP,2592,High,Spike,71.31002794328036
AEP,2596,High,Spike,72.05914779689411
AEP,2598,High,Spike,69.57034265748484
AEP,2603,High,Spike,67.74139413942463
AEP,2607,High,Spike,65.3814467172616
AEP,2610,High,Spike,67.77499421591678
AEP,2615,High,Spike,67.84218074112553
AEP,2617,High,Spike,71.90699561424556
AEP,2627,High,Spike,70.84039371602893
AEP,2630,High,Spike,70.56324616965878
AEP,2647,High,Spike,70.91599360737266
AEP,2652,High,Spike,73.69586037571912
AEP,2658,High,Spike,73.41869021259477
AEP,2659,High,Spike,71.5962424645772
AEP,2667,High,Spike,73.79705441196742
AEP,2683,High,Spike,67.9457903947529
AEP,2685,High,Spike,68.17443385648383
AEP,2689,High,Spike,68.69941991018048
AEP,2692,High,Spike,68.5978130339133
AEP,2706,High,Spike,72.49299193434744
AEP,2708,High,Spike,75.93942095071917
AEP,2722,High,Spike,79.77532757485852
AEP,2725,High,Spike,77.4636409345892
AEP,2732,High,Spike,80.42994125916408
AEP,2733,High,Spike,78.32122653143124
AEP,2735,High,Spike,77.58703600486733
AEP,2739,High,Spike,74.5136009707826
AEP,2740,High,Spike,71.44871391581503
AEP,2773,High,Spike,68.31551153381879
AEP,2889,High,Spike,73.82178572130424
AEP,2909,High,Spike,76.30685674537858
AEP,2910,High,Spike,78.00119267219263
AEP,2948,High,Spike,73.85134982834089
AEP,3002,High,Spike,74.88042125509303
AEP,3009,High,Spike,77.31248253433125
AEP,3058,High,Spike,79.90487834439324
AEP,3062,High,Spike,84.47239049578491
AEP,3063,High,Spike,85.98894063765411
AEP,3064,High,Spike,87.55903120364354
AEP,3066,High,Spike,85.55182914360977
AEP,3086,High,Spike,93.50038225985226
AEP,3101,High,Spike,91.671589946719
AEP,3103,High,Spike,89.5483950107019
AEP,3116,High,Spike,89.5445520504717
AEP,3131,High,Spike,89.15791385115328
AEP,3133,High,Spike,84.33858912278178
AEP,3134,High,Spike,82.63922537896227
AEP,3135,High,Spike,80.83197117739182
AEP,3147,High,Spike,86.11885448845527
AEP,3191,High,Spike,95.10513313046556
AEP,3198,High,Spike,91.56191427813386
AEP,3205,High,Spike,86.94937683065658
AEP,3206,High,Spike,85.32728397919331
AEP,3208,High,Spike,81.55750851588724
AEP,3210,High,Spike,82.6268273001895
AEP,3212,High,Spike,79.43702643562169
AEP,3213,High,Spike,76.91780855231003
AEP,3237,High,Spike,84.13420518305193
AEP,3243,High,Spike,83.77746683895678
AEP,3244,High,Spike,85.36904556718719
AEP,3249,High,Spike,86.7868391400809
AEP,3250,High,Spike,88.61623871527428
AEP,3252,High,Spike,87.26248573408931
AEP,3254,High,Spike,88.39670833776506
AEP,3255,High,Spike,90.22611852403668
AEP,3259,High,Spike,91.7628137806331
AEP,3261,High,Spike,90.11634946731044
AEP,3262,High,Spike,86.82342462112297
AEP,3275,High,Spike,88.89064623666405
AEP,3280,High,Spike,87.67409415416134
AEP,3283,High,Spike,84.75618892878816
AEP,3311,High,Spike,80.92588952399697
AEP,3319,High,Spike,83.99082488081034
AEP,3321,High,Spike,85.97566752534584
AEP,3326,High,Spike,82.57835689445274
AEP,3327,High,Spike,80.80585940192232
AEP,3336,High,Spike,87.61892251654496
AEP,3364,High,Spike,84.14877310469792
AEP,3365,High,Spike,82.18317766061217
AEP,3371,High,Spike,78.67113597598633
AEP,3372,High,Spike,76.87320214606846
AEP,3440,High,Spike,72.86115945477994
AEP,3446,High,Spike,74.96952286170335
AEP,3456,High,Spike,72.02344960295325
AEP,3460,High,Spike,68.79500117515325
AEP,3469,High,Spike,72.24934713458686
AEP,3482,High,Spike,75.48719710408008
AEP,3510,High,Spike,79.66922241320161
AEP,3516,High,Spike,76.93712020787872
AEP,3522,High,Spike,79.33604032148837
AEP,3529,High,Spike,77.79386682531178
AEP,3533,High,Spike,75.68053172589204
AEP,3551,High,Spike,76.59018465720835
