File,Line,Column,Type,Value
STZ,628,High,Spike,23.944781732399232
STZ,775,High,Spike,29.41613111794217
STZ,784,High,Spike,38.552485706802855
STZ,1010,High,Spike,68.41362672695355
STZ,1131,High,Spike,82.69847225113233
STZ,1262,High,Spike,95.32536460835794
STZ,1513,High,Spike,135.66884297197075
STZ,1534,High,Spike,120.19351304054888
STZ,1574,High,Spike,141.27717547734798
STZ,1634,High,Spike,146.8178583050239
STZ,1701,High,Spike,153.66921146248615
STZ,1726,High,Spike,139.69176461050137
STZ,1764,High,Spike,134.34804852366815
STZ,1771,High,Spike,139.1413668085745
STZ,1827,High,Spike,156.13995698867893
STZ,1860,High,Spike,161.39854554799436
STZ,1885,High,Spike,176.2164372433647
STZ,1953,High,Spike,191.0022199649337
STZ,1982,High,Spike,203.84471265209368
STZ,1983,High,Spike,196.72095163626568
STZ,2016,High,Spike,199.9508857905264
STZ,2073,High,Spike,207.6686515972025
STZ,2137,High,Spike,202.2646406030928
STZ,2138,High,Spike,196.59755882655065
STZ,2168,High,Spike,201.22655566650812
STZ,2169,High,Spike,192.4519677575168
STZ,2204,High,Spike,204.43211327954032
STZ,2209,High,Spike,200.98204768577216
STZ,2217,High,Spike,197.8126854079176
STZ,2222,High,Spike,182.545489904777
STZ,2247,High,Spike,173.89396466018604
STZ,2255,High,Spike,159.96097455418737
STZ,2259,High,Spike,146.67331620761928
STZ,2267,High,Spike,156.62544374662482
STZ,2269,High,Spike,146.56427868544014
STZ,2276,High,Spike,150.96317820986732
STZ,2298,High,Spike,153.10944439398608
STZ,2328,High,Spike,176.32917279497457
STZ,2338,High,Spike,182.43529814574688
STZ,2339,High,Spike,187.7929736420135
STZ,2355,High,Spike,189.8492796458992
STZ,2367,High,Spike,162.423064192188
STZ,2369,High,Spike,169.22005216751626
STZ,2376,High,Spike,174.09337233417213
STZ,2387,High,Spike,183.74847848496933
STZ,2435,High,Spike,189.08660102505533
STZ,2454,High,Spike,185.97835622089443
STZ,2461,High,Spike,177.7388067324732
STZ,2554,High,Spike,174.5891996463771
STZ,2555,High,Spike,159.7443077451584
STZ,2557,High,Spike,169.99302171264327
STZ,2561,High,Spike,159.46633943240872
STZ,2563,High,Spike,150.8670142947534
STZ,2564,High,Spike,134.08550622103232
STZ,2566,High,Spike,118.054555896448
STZ,2571,High,Spike,110.91938678298352
STZ,2572,High,Spike,115.83060088413974
STZ,2573,High,Spike,123.92023295651276
STZ,2574,High,Spike,132.05614561052752
STZ,2575,High,Spike,137.88476569317783
STZ,2578,High,Spike,132.19515548752273
STZ,2579,High,Spike,123.17889222724106
STZ,2581,High,Spike,133.26079577688714
STZ,2582,High,Spike,151.0338560694005
STZ,2591,High,Spike,143.84312013681776
STZ,2596,High,Spike,156.8717076488445
STZ,2598,High,Spike,155.31496297497986
STZ,2610,High,Spike,157.78012869635052
STZ,2615,High,Spike,166.71745951311772
STZ,2623,High,Spike,170.60889453827266
STZ,2627,High,Spike,163.4497688667076
STZ,2630,High,Spike,167.81599938440775
STZ,2634,High,Spike,169.42661885246588
STZ,2637,High,Spike,161.99746074392536
STZ,2641,High,Spike,176.80913257991375
STZ,2649,High,Spike,167.48082847578908
STZ,2692,High,Spike,183.7067626819413
