Date,Close,High,Low,Open,Volume,20d_std,10d_ema,10d_roc,20d_sma,bb_upper,bb_lower,vol_pct_change,vol_spike,macd_line,signal_line,macd_hist
2010-01-04,21.17849922180176,21.24728126827933,21.07845325927544,21.20351130875431,1574200,,21.17849922180176,,,,,,0,0.0,0.0,0.0
2010-01-05,21.216020584106445,21.36608835811408,21.009674413240628,21.20976636877364,2497100,,21.18532128767534,,,,,58.626603989327904,0,0.0029931571069248264,0.0005986314213849653,0.002394525685539861
2010-01-06,20.97840881347656,21.209764671304843,20.85960496978833,21.159742879067085,2829500,,21.147700837821013,,,,,13.31144127187538,0,-0.013650671957634586,-0.0022512292544189447,-0.011399442703215641
2010-01-07,20.659507751464844,20.91587563254832,20.61573779995914,20.91587563254832,3232600,,21.058938458483528,,,,,14.2463332744301,0,-0.05197454671903401,-0.012195892747341959,-0.03977865397169205
2010-01-08,20.528200149536133,20.709531803407497,20.43440602299834,20.659510018462072,2203200,,20.962440584129453,,,,,-31.84433582874466,0,-0.09188275249257316,-0.028133264696388202,-0.06374948779618496
2010-01-11,20.590726852416992,20.63449680633501,20.38438073941752,20.52819902832941,2827700,,20.894856269272644,,,,,28.345134350036318,0,-0.11711488325351027,-0.045929588407812624,-0.07118529484569765
2010-01-12,20.834583282470703,20.99715939923325,20.49067556894172,20.55320337675318,2601600,,20.883897544399563,,,,,-7.995897726067125,0,-0.11609606953481588,-0.05996288463321328,-0.0561331849016026
2010-01-13,21.147241592407227,21.19726578118353,20.840851784648493,20.92213751348308,2485500,,20.931778280400955,,,,,-4.462638376383765,0,-0.08903341788523633,-0.06577699128361789,-0.023256426601618446
2010-01-14,21.04093360900879,21.12221929859241,20.784565728535814,21.12221929859241,1976300,,20.951624703784198,,,,,-20.486823576745117,0,-0.07529626876837625,-0.06768084678056957,-0.007615421987806681
2010-01-15,20.62824058532715,21.09095210972303,20.50943440546309,21.05343399208968,3794500,,20.892827591337458,,,,,92.00020239842128,0,-0.0965968487708686,-0.07346404717862938,-0.023132801592239224
2010-01-19,20.66576194763184,20.77831394591124,20.609485948492136,20.653255905013708,1858400,,20.851542928845525,-2.42102742408723,,,,-51.02385030965873,0,-0.1091913614804767,-0.08060951003899886,-0.028581851441477846
2010-01-20,20.55320930480957,20.571969560790308,20.32185348683883,20.546957476338427,1605400,,20.797300451748075,-3.1241074482808884,,,,-13.613861386138614,0,-0.1267930695951307,-0.08984622195022524,-0.03694684764490547
2010-01-21,20.39688301086425,20.65325085868668,20.25932134624357,20.528195233628445,2414600,,20.72449728067829,-2.7720205463759306,,,,50.40488351812633,0,-0.15160911997580584,-0.10219880155534136,-0.04941031842046448
2010-01-22,20.49694061279297,20.653262618406785,20.25307866568093,20.384388577928256,2738400,,20.683123341062775,-0.7868877643531835,,,,13.410088627515936,0,-0.16134235222873627,-0.11402751169002034,-0.04731484053871593
2010-01-25,20.49067687988281,20.697020567088355,20.371873083327085,20.697020567088355,1691600,,20.64813307539369,-0.1827888922554699,,,,-38.226701723634235,0,-0.16762911571057515,-0.12474783249413132,-0.04288128321644383
2010-01-26,20.484424591064453,20.55320662168613,20.24681697564112,20.39063286453945,1866100,,20.618367896424736,-0.5162627920541896,,,,10.315677465121787,0,-0.1711430974244692,-0.1340268854801989,-0.03711621194427031
2010-01-27,20.66576194763184,20.740795818056856,20.390636165884267,20.55320994935244,2346000,,20.626984996644207,-0.8102937915773101,,,,25.716735437543537,0,-0.15748021023853553,-0.13871755043186623,-0.018762659806669302
2010-01-28,20.95964813232422,21.00341808915147,20.69077417736612,20.740795962904222,3139500,,20.68746920313148,-0.8870824086596785,,,,33.823529411764696,0,-0.12153711055627525,-0.13528146245674805,0.013744351900472795
2010-01-29,20.703277587890625,21.07844928022083,20.665759464544223,21.04093354215788,2490600,,20.69034345490587,-1.6047577897094545,,,,-20.66889632107023,0,-0.11244273559699991,-0.13071371708479843,0.018270981487798515
