Date,Close,High,Low,Open,Volume,20d_std,10d_ema,10d_roc,20d_sma,bb_upper,bb_lower,vol_pct_change,vol_spike,macd_line,signal_line,macd_hist
2010-01-04,26.88318252563477,27.688908737299176,26.380135223168622,26.41423927056143,288800,,26.88318252563477,,,,,,0,0.0,0.0,0.0
2010-01-05,26.84908676147461,27.040927180888847,26.54640611431472,26.870402002243164,348200,,26.876983295787465,,,,,20.56786703601108,0,-0.0027198900184757235,-0.0005439780036951448,-0.002175912014780579
2010-01-06,26.550661087036133,26.887447326241823,26.448347309459827,26.8576056722614,372800,,26.817651985105403,,,,,7.064905226881102,0,-0.028625898791361237,-0.006160362161228363,-0.022465536630132874
2010-01-07,26.87039566040039,26.90876373522776,26.22240241123163,26.42703322780976,499400,,26.827241744249946,,,,,33.95922746781115,0,-0.0230905163502797,-0.00954639299903863,-0.01354412335124107
2010-01-08,27.17734718322754,27.26260977415014,26.725456589711808,26.725456589711808,266800,,26.890897278609508,,,,,-46.57589106928314,0,0.005995622897184916,-0.006437989819793922,0.012433612716978838
2010-01-11,27.0494441986084,27.28391501804511,26.738237238083588,27.28391501804511,156600,,26.919723991336575,,,,,-41.30434782608695,0,0.018512495353387948,-0.001447892785157548,0.019960388138545497
2010-01-12,26.44835090637207,27.03665927306477,26.23519527680991,26.75955793038301,269000,,26.8340197940703,,,,,71.77522349936143,0,-0.01984226885907958,-0.005126767999941955,-0.014715500859137627
2010-01-13,26.606088638305664,26.789402630646265,26.294881578953817,26.631667902207344,217800,,26.792577765749456,,,,,-19.03345724907063,0,-0.03708310814355187,-0.011518036028663938,-0.02556507211488793
2010-01-14,26.635927200317383,26.708400959814647,26.34177301779509,26.58477030471533,297200,,26.764095844761805,,,,,36.45546372819099,0,-0.04778800453765086,-0.018772029730461326,-0.029015974807189537
2010-01-15,26.17124938964844,26.96845103309697,26.081724410564327,26.74677059715017,281800,,26.656305580195735,,,,,-5.1816958277254415,0,-0.09269875436373454,-0.03355737465711597,-0.05914137970661857
2010-01-19,26.72118759155273,26.74676685038576,26.13287764837928,26.13287764837928,417400,,26.66810230953337,-0.6025883800311438,,,,48.11923349893541,0,-0.0829591290970626,-0.0434377255451053,-0.0395214035519573
2010-01-20,26.36734771728516,26.473925519903528,26.03908951631901,26.4057157912777,436000,,26.61341965639733,-1.7942474113521456,,,,4.456157163392427,0,-0.10260950805652058,-0.05527208204738836,-0.047337426009132225
2010-01-21,25.30583381652832,26.486716069478483,25.177940778117275,26.46966323069082,380200,,26.375676776421145,-4.688498212632542,,,,-12.798165137614681,0,-0.2015149365545703,-0.08452065294882474,-0.11699428360574557
2010-01-22,24.807052612304688,25.536046131603914,24.700474793101414,25.35699454969321,276000,,26.09047238294542,-7.678871104739649,,,,-27.40662809047869,0,-0.3164972921357858,-0.13091598078621697,-0.18558131134956884
2010-01-25,24.875253677368164,25.09693565915872,24.546995539786657,25.075620428000526,323000,,25.86952352738592,-8.470633613865408,,,,17.028985507246386,0,-0.3975358357099026,-0.1842399517709541,-0.2132958839389485
2010-01-26,24.67489624023437,25.275995053150705,24.40631969047436,24.87099902998049,270000,,25.652318566085636,-8.778546209449246,,,,-16.408668730650156,0,-0.47248017867226366,-0.241887997151216,-0.23059218152104766
2010-01-27,24.72605323791504,24.815578212787184,24.09084874090896,24.440425472490084,257200,,25.483906688236438,-6.511928379028298,,,,-4.740740740740746,0,-0.5217319668913554,-0.2978567910992439,-0.22387517579211147
2010-01-28,24.23579788208008,24.73031894803791,23.53664757775162,24.73031894803791,381800,,25.256977814389828,-8.90882830786708,,,,48.444790046656294,0,-0.5934825761678901,-0.3569819481129732,-0.23650062805491695
2010-01-29,24.1036376953125,24.764419786454244,23.971480626584828,24.29121405387099,485200,,25.047279610921223,-9.507044699291377,,,,27.08224201152436,0,-0.6534767997458601,-0.41628091843955056,-0.23719588130630959
