Date,Close,High,Low,Open,Volume,20d_std,10d_ema,10d_roc,20d_sma,bb_upper,bb_lower,vol_pct_change,vol_spike,macd_line,signal_line,macd_hist
2010-01-04,38.9239501953125,38.98586860723294,38.3835748413427,38.68190666540213,27809100,,38.9239501953125,,,,,,0,0.0,0.0,0.0
2010-01-05,39.075927734375,39.092813792612446,38.726937745410666,38.946465091540304,30174700,,38.95158247514205,,,,,8.506567993930037,0,0.012123564369652229,0.002424712873930446,0.009698851495721783
2010-01-06,39.41365814208984,39.74013621959543,39.03089177748493,39.092810181650506,35044700,,39.03559623276892,,,,,16.139348527077324,0,0.048425380210652236,0.011624846341274805,0.03680053386937743
2010-01-07,39.28982162475586,39.4361702973974,39.07592014324492,39.34610990611957,27192100,,39.081819031311994,,,,,-22.40738257140167,0,0.06643642109408177,0.022587161291836196,0.04384925980224557
2010-01-08,39.13220977783203,39.26167669451418,38.9633449279014,39.2279045834322,24891800,,39.090980985224725,,,,,-8.459442264481233,0,0.067217500423709,0.03151322911821076,0.03570427130549824
2010-01-11,39.5712776184082,39.69511015180844,39.20539725259932,39.36863631717626,30685000,,39.178307645803535,,,,,23.273527828441498,0,0.10208880056639913,0.04562834340784844,0.05646045715855069
2010-01-12,39.37425994873047,39.396776124783,39.13221642431756,39.24479730458023,31496700,,39.2139353372448,,,,,2.645266416816039,0,0.11252970536980911,0.059008615800240576,0.05352108956956853
2010-01-13,39.21665191650391,39.4249233289083,38.985868622048585,39.37989097576332,24884400,,39.214429260746456,,,,,-20.993627903875645,0,0.10685479111657514,0.06857785086350748,0.03827694025306766
2010-01-14,39.22228240966797,39.25605452758916,39.03652717205824,39.1434779381708,18630800,,39.21585710600491,,,,,-25.130603912491356,0,0.10164007095842464,0.07519029488249092,0.026449776075933726
2010-01-15,38.90142440795898,39.22790244569571,38.64249488322587,39.2053862746945,29411900,,39.15868752454201,,,,,57.86708031861218,0,0.07080066248214223,0.07431236840242118,-0.003511705920278954
2010-01-19,38.991485595703125,39.03651793862747,38.5130287620636,38.69315383924038,26081900,,39.12828717384403,0.17350602919730118,,,,-11.321947919039577,0,0.05301625586085379,0.07005314589410772,-0.017036890033253926
2010-01-20,38.29352569580078,38.64815025263383,38.23723737877876,38.59185764108849,34629500,,38.97651235965435,-2.002260941551337,,,,32.77215233552771,0,-0.017199282719097653,0.05260266017146665,-0.0698019428905643
2010-01-21,37.544864654541016,38.36105997847904,37.43228806238763,38.344173919108194,39114000,,38.71621277690647,-4.741487026684121,,,,12.949941523845276,0,-0.13173770190395118,0.01573458775638309,-0.14747228966033427
2010-01-22,37.207130432128906,37.7925381568917,37.150842136281305,37.443543851401856,39085500,,38.44183416876509,-5.30084155768904,,,,-0.07286393618652909,0,-0.2469162565927263,-0.036795581113438794,-0.21012067547928753
2010-01-25,37.06639862060547,37.57863186688584,36.976338227837886,37.46042518571052,29305100,,38.191754978190616,-5.279055716390502,,,,-25.023090404369906,0,-0.3455684737884468,-0.0985501596484404,-0.2470183141400064
2010-01-26,37.10581207275391,37.567382998436926,36.8693986388845,36.94820311684097,34083300,,37.99431081356576,-6.230442113669277,,,,16.305011755632968,0,-0.4157779016332128,-0.16199570804539487,-0.25378219358781795
2010-01-27,36.89191055297852,37.18461225233583,36.587948618345074,36.95945908107088,35723500,,37.793874402549896,-6.304497910523866,,,,4.812327444819009,0,-0.4831104475149459,-0.22621865593930507,-0.25689179157564085
2010-01-28,36.5654296875,37.06640275650804,36.345902355890686,37.06640275650804,37349800,,37.570520817995366,-6.760450215506985,,,,4.552465463910305,0,-0.5564023921326537,-0.2922554031779748,-0.2641469889546789
2010-01-29,36.26710510253906,37.049524064483336,36.03631749062356,36.672387732082974,40880500,,37.33353614245785,-7.534434830341441,,,,9.453062667002232,0,-0.6312820604524418,-0.36006073463286825,-0.2712213258195736
2010-02-01,37.25215148925781,37.38161839551375,36.78495061581822,37.02136396339474,37703000,1.126602483146258,37.318738932785116,-4.239620897695806,38.26536388397217,40.518568850264685,36.012158917679656,-7.7726544440503424,0,-0.6041751707601577,-0.40888362185832616,-0.19529154890183154
2010-02-02,37.69121170043945,37.78127639553902,37.415396087108846,37.56174906938512,34057900,1.1223884902092174,37.386461254176815,-3.3347636680120862,38.20372695922852,40.448503939646955,35.95894997881008,-9.667930933877944,0,-0.5410276457986001,-0.435312426646381,-0.1057152191522191
2010-02-03,37.48857498168945,37.84319939354022,37.46605880518135,37.64618392272466,24024700,1.113554911010286,37.405027386451835,-2.1020543276839,38.12435932159424,40.351469143614814,35.89724949957367,-29.459244404381945,0,-0.5015522844805886,-0.4485603982132225,-0.05299188626736612
2010-02-04,36.43034362792969,37.3478553543603,36.40782744945924,37.302822997419405,33858200,1.131428433539189,37.22781215762963,-2.968504579431286,37.97519359588623,40.23805046296461,35.712336728807855,40.9307920598384,0,-0.549325915263779,-0.46871350162333386,-0.08061241364044519
2010-02-05,36.47536087036133,36.53164914595198,35.77737465783285,36.41906830025053,42297500,1.134336522692367,37.091002832671755,-1.9667454954700903,37.8344705581665,40.10314360355123,35.56579751278177,24.92542426945319,0,-0.5769041546262699,-0.4903516322239211,-0.08655252240234879
2010-02-08,36.458377838134766,37.10426019195892,36.452710990107946,36.77565648955856,30519400,1.1308986370265446,36.9759801063923,-1.6403556997649615,37.70077896118164,39.96257623523473,35.43898168712855,-27.845853773863706,0,-0.5932914027987053,-0.5109395863388779,-0.08235181645982736
2010-02-09,36.93996047973633,37.22890924720161,36.57735996950262,36.88897180917489,36243300,1.0521554532469959,36.969431083363936,-0.44696931222634184,37.56921310424805,39.67352401074204,35.46490219775406,18.754955864138868,0,-0.5609524104094703,-0.5209421511529965,-0.040010259256473835
2010-02-10,36.74165725708008,36.95128739461231,36.350731220247326,36.87196881771649,21699100,0.9763982034134757,36.92801766040323,-0.4072797901932268,37.43758296966553,39.390379376492476,35.48478656283858,-40.12934804501798,0,-0.5450420334456538,-0.525762127611528,-0.019279905834125866
2010-02-11,36.96260452270508,37.09858288594207,36.49236006475515,36.650997165994816,23555200,0.8861566127992815,36.93430618082174,1.0862031120636662,37.324880599975586,39.09719382557415,35.55256737437702,8.55381098755248,0,-0.5087399102652199,-0.5223576841422664,0.013617773877046435
2010-02-12,36.713321685791016,36.905951228030375,36.41870620378872,36.61134006856515,30636200,0.77389390637446,36.894127181725246,1.230361734112373,37.19943256378174,38.74722037653066,35.65164475103282,30.06130281211792,0,-0.49438628040172006,-0.5167634033941572,0.022377122992437104
2010-02-16,37.55183410644531,37.60848960101762,36.8719595265033,37.07592276499334,30514900,0.6694720896928206,37.01371025894707,0.8044706284251024,37.13195304870605,38.470897228091694,35.79300886932041,-0.39593683289702586,0,-0.4106166476028932,-0.4955340522359044,0.08491740463301123
2010-02-17,37.25723648071289,37.64816256110336,37.1495879761292,37.58584019766425,21821800,0.5090299517620998,37.05798775381358,-1.1513963073824574,37.045240592956546,38.06330049648074,36.02718068943235,-28.488050100115025,0,-0.3638064422194702,-0.46918853023261764,0.10538208801314741
2010-02-18,37.37055587768555,37.444207631630846,37.02495153852582,37.27990789764053,22536700,0.4247686067462268,37.114818321790295,-0.3148135240177874,36.99909210205078,37.848629315543235,36.14955488855833,3.2760817164486866,0,-0.3139461135455264,-0.43814004689519936,0.12419393334967299
2010-02-19,37.31955337524414,37.5291791828759,37.07026395801923,37.16091190448586,24264600,0.41233791113354784,37.15204287696372,2.4408491898844753,36.98782653808594,37.81250236035304,36.163150715818844,7.667049745526189,0,-0.27537259567898786,-0.4055865566519571,0.13021396097296922
2010-02-22,37.05326461791992,37.46119114901307,36.96827920351922,37.449857455072845,20469700,0.409456167958917,37.13408319350121,1.5843674572886268,36.98013324737549,37.79904558329333,36.161220911457654,-15.639656124560064,0,-0.263255437300252,-0.3771203327816161,0.11386489548136408
2010-02-23,36.79265213012695,37.14391889654938,36.345066238923685,36.97395236127551,33372900,0.4109932329937349,37.07200481834225,0.9168655102437029,36.96644592285156,37.788432388839034,36.14445945686409,63.03560872899945,0,-0.27155147534825375,-0.3560065612949436,0.08445508594668988
2010-02-24,37.13824844360352,37.31954863605164,36.69632517213225,36.83230355837151,21469600,0.41163562644756047,37.084049113844294,0.53678445047598,36.968067741394044,37.79133899428916,36.144796488498926,-35.66756260319002,0,-0.24738767986239196,-0.3342827850084333,0.08689510514604132
