Date,Close,High,Low,Open,Volume,20d_std,10d_ema,10d_roc,20d_sma,bb_upper,bb_lower,vol_pct_change,vol_spike,macd_line,signal_line,macd_hist
2010-01-04,105.63999938964844,106.20999908447266,104.83000183105467,105.4800033569336,95100,,105.63999938964844,,,,,,0,0.0,0.0,0.0
2010-01-05,103.0,104.7300033569336,101.30999755859376,104.7300033569336,317200,,105.15999950062144,,,,,233.5436382754995,0,-0.21059824190928111,-0.04211964838185622,-0.1684785935274249
2010-01-06,102.20999908447266,104.2699966430664,101.5199966430664,102.6500015258789,243400,,104.62363578859438,,,,,-23.266078184110974,0,-0.43621690057644,-0.120939098820773,-0.315277801755667
2010-01-07,100.44000244140624,102.5500030517578,100.36000061035156,102.0,209400,,103.86297518001473,,,,,-13.968775677896472,0,-0.7492088365793848,-0.24659304637249535,-0.5026157902068894
2010-01-08,102.13999938964844,102.3000030517578,99.54000091552734,99.9000015258789,119500,,103.54970685449358,,,,,-42.93218720152817,0,-0.8502801542537668,-0.3673304679487497,-0.4829496863050171
2010-01-11,103.0500030517578,103.3499984741211,101.83999633789062,102.0999984741211,112300,,103.45885161763252,,,,,-6.025104602510456,0,-0.8471843970012856,-0.4633012537592569,-0.38388314324202866
2010-01-12,101.58999633789062,103.12000274658205,101.1500015258789,102.87999725341795,97300,,103.11905974858854,,,,,-13.357079252003556,0,-0.9515721951660794,-0.5609554420406214,-0.39061675312545796
2010-01-13,102.97000122070312,103.56999969482422,101.04000091552734,101.37999725341795,160100,,103.0919581980639,,,,,64.54265159301131,0,-0.912427519940735,-0.6312498576206442,-0.2811776623200908
2010-01-14,103.81999969482422,104.52999877929688,103.01000213623048,103.1999969482422,132000,,103.22432937929304,,,,,-17.55153029356652,0,-0.8035544343506302,-0.6657107729666414,-0.13784366138398885
2010-01-15,101.08999633789062,104.33999633789062,100.97000122070312,104.0500030517578,101700,,102.83626882631079,,,,,-22.95454545454545,0,-0.9268757383946848,-0.7179437660522501,-0.20893197234243477
2010-01-19,101.6999969482422,102.02999877929688,100.5500030517578,100.72000122070312,153400,,102.62967393938922,-3.7296501932697956,,,,50.835791543756145,0,-0.9642712898724284,-0.7672092708162859,-0.1970620190561425
2010-01-20,100.81999969482422,101.63999938964844,99.91000366210938,101.1999969482422,136600,,102.30064225855921,-2.1165051506561006,,,,-10.951760104302476,0,-1.0527801633555924,-0.8243234493241471,-0.2284567140314453
2010-01-21,100.16999816894533,102.12999725341795,99.69000244140624,101.45999908447266,314100,,101.91325242408396,-1.9958917266414855,,,,129.94143484626645,0,-1.1619792011876768,-0.8918545996968531,-0.27012460149082373
2010-01-22,98.77999877929688,101.05999755859376,98.6999969482422,100.4800033569336,149000,,101.34356994321357,-1.6527316027075578,,,,-52.56287806431072,0,-1.34517521688349,-0.9825187231341805,-0.3626564937493095
2010-01-25,99.08999633789062,99.58999633789062,98.58999633789062,99.05999755859376,139500,,100.93382928770029,-2.9861005188794976,,,,-6.375838926174493,0,-1.4486460767358693,-1.0757441938545185,-0.37290188288135084
