Date,Close,High,Low,Open,Volume,20d_std,10d_ema,10d_roc,20d_sma,bb_upper,bb_lower,vol_pct_change,vol_spike,macd_line,signal_line,macd_hist
2010-01-04,59.37267303466797,60.18847994408559,59.11584197998017,59.66726849739246,1838030,,59.37267303466797,,,,,,0,0.0,0.0,0.0
2010-01-05,58.82127380371094,59.46334583112995,58.74573313829578,59.22162515324537,1150255,,59.272418629039414,,,,,-37.419138969440105,0,-0.043986263438171136,-0.008797252687634228,-0.03518901075053691
2010-01-06,58.66263961791992,58.97990094221434,58.37559337655106,58.91191552884381,1238200,,59.161549717926775,,,,,7.645695954375342,0,-0.09060174661165377,-0.025158151472438134,-0.06544359513921563
2010-01-07,58.64751052856445,58.83635621376331,58.17917984527955,58.503990406959424,2323573,,59.06808804713362,,,,,87.65732514941043,0,-0.12729822919914824,-0.04558616701778016,-0.08171206218136808
2010-01-08,58.85147476196289,59.153625536791495,58.451123508527246,58.67018429706573,1214625,,59.02870381346621,,,,,-47.725980634135446,0,-0.13832769147724377,-0.06413447190967289,-0.07419321956757088
2010-01-11,59.2291259765625,59.37265194185159,58.74568501680372,59.18380634015892,1573990,,59.06514420675644,,,,,29.586497890295348,0,-0.11526660131136879,-0.07436089779001208,-0.04090570352135671
2010-01-12,58.35291290283203,59.13095544335045,58.2698229309621,59.13095544335045,1448120,,58.935647606042906,,,,,-7.996874185985936,0,-0.16578255533869424,-0.09264522929974851,-0.07313732603894572
2010-01-13,58.541778564453125,58.91191480251583,58.40580773938845,58.40580773938845,1427825,,58.864035053026576,,,,,-1.4014722536806357,0,-0.1884051154833486,-0.11179720653646853,-0.07660790894688006
2010-01-14,58.194278717041016,58.35290931332565,57.49178276105842,57.78637822048013,2152398,,58.742261173756475,,,,,50.74662511162082,0,-0.23170306222232995,-0.13577837767364082,-0.09592468454868913
2010-01-15,57.62775039672852,58.11874679082016,57.16696907447097,57.98277601399174,1416960,,58.53962285066048,,,,,-34.168309020915274,0,-0.3081786065900758,-0.17025842345692782,-0.13792018313314797
2010-01-19,58.38315200805664,58.6701982660632,57.68064981253113,57.72597539312267,1734608,,58.511173606550685,-1.6666270458019383,,,,22.417570009033415,0,-0.3043233791188058,-0.19707141458930344,-0.10725196452950236
2010-01-20,58.00545120239258,58.61730207639475,57.41625425202089,58.46622669260084,1416653,,58.419224078521935,-1.3869516053678033,,,,-18.330078034922014,0,-0.32796480785816584,-0.22325009324307593,-0.10471471461508991
2010-01-21,57.52202224731445,58.39825966027564,57.46914142134062,58.31516375109624,1233280,,58.256096472847844,-1.9443676214273897,,,,-12.944101343095305,0,-0.3813139372430143,-0.25486286204306363,-0.1264510751999507
