Date,Close,High,Low,Open,Volume,20d_std,10d_ema,10d_roc,20d_sma,bb_upper,bb_lower,vol_pct_change,vol_spike,macd_line,signal_line,macd_hist
2010-01-04,13.12263298034668,13.257569950833446,13.01580747656743,13.2519474430152,4254200,,13.12263298034668,,,,,,0,0.0,0.0,0.0
2010-01-05,13.195721626281738,13.240700610271237,13.060784674313249,13.105763658302743,2711400,,13.135921825062145,,,,,-36.26533778383715,0,0.0058304332939638215,0.0011660866587927643,0.004664346635171057
2010-01-06,12.920228004455566,13.17885802251467,12.914605496195172,13.16199049773349,3562500,,13.096704766770038,,,,,31.389687984067272,0,-0.011644706274321237,-0.001396071927830036,-0.010248634346491202
2010-01-07,12.959575653076172,12.987688175208897,12.802149818665187,12.89210774472377,2739000,,13.071772200643881,,,,,-23.115789473684213,0,-0.022064507968920566,-0.005529759136048142,-0.016534748832872426
2010-01-08,12.886494636535645,12.948341157940204,12.734690123479275,12.84713814923596,2378900,,13.03808537080602,,,,,-13.147133990507488,0,-0.03580654756229329,-0.011585116821297172,-0.024221430740996117
2010-01-11,13.285679817199709,13.325037367186573,12.92022543210463,12.92022543210463,2405000,,13.083102542877599,,,,,1.0971457396275586,0,-0.014321218899430832,-0.012132337236923904,-0.002188881662506928
2010-01-12,13.094521522521973,13.32503898130787,12.937094520655428,13.190100938345852,2053200,,13.085178720994758,,,,,-14.627858627858625,0,-0.012573874150403341,-0.012220644619619792,-0.0003532295307835491
2010-01-13,13.145121574401855,13.31379358711672,13.015807115322373,13.184479128037236,3122000,,13.096077421614229,,,,,52.05532826806936,0,-0.007025108466011787,-0.011181537388898192,0.004156428922886405
2010-01-14,12.931471824645996,13.128255306019522,12.807779871511862,13.105765275058571,3551900,,13.066149131256369,,,,,13.770019218449715,0,-0.019641011588785062,-0.012873432228875565,-0.006767579359909497
2010-01-15,12.768424034118652,12.925851054861187,12.644732064353418,12.81902553820076,2528600,,13.012017295413147,,,,,-28.809932712069596,0,-0.04230809833286564,-0.01876036544967358,-0.02354773288319206
2010-01-19,12.948344230651855,13.043924753511654,12.667225171932934,12.74593816521132,1990700,,13.000440374547455,-1.3281538084304434,,,,-21.272640987107494,0,-0.04523246003759773,-0.024054784367258414,-0.02117767567033932
2010-01-20,12.599749565124512,12.875245970528107,12.515414105900316,12.875245970528107,2734500,,12.927587500106918,-4.516403710504447,,,,37.36374139749836,0,-0.0748162784518911,-0.03420708318418495,-0.04060919526770614
2010-01-21,12.060004234313965,12.706577650427633,12.060004234313968,12.59412963354536,4307700,,12.769845088144562,-6.657961220536912,,,,57.531541415249585,0,-0.14019848418641523,-0.05540536338463101,-0.08479312080178422
2010-01-22,11.711419105529783,12.178076666724335,11.672062611706057,12.071251131785624,4648400,,12.57740400039642,-9.631152909317041,,,,7.909093019476754,0,-0.2176335162268881,-0.08785099395308243,-0.12978252227380566
